,JOB_MATCH,S_NAME,S_AGE,S_GENDER,S_EDUCATION,S_UNDERSTANDING_COMM,S_GETTING_ALONG_PEOPLE,S_LIFE_ACT_HOUSE,S_LIFE_ACT_WORK,S_PARTICIPATE_SOCIETY,S_PREV_EMP,S_TOTAL_EXPERIENCE,JOB_DESCRIPTION,J_LANGUAGE,J_COMMUNICATION,J_PROB_SOLVE,J_ATTEN_VIGIL,J_ADAPT_INTERACT
60,N,Sona Chaudhry,29.0,Male,Primary School,3.0,1.0,1.0,2.0,2.0,2.0,2.0,Marketing ,Y,Y,N,N,N
61,N,Indira Rampersaud,31.0,Female,Primary School,3.0,3.0,2.0,2.0,2.0,2.0,6.0,Marketing ,Y,Y,N,N,N
62,Y,Jasmin Jacob,20.0,Female,High School,2.0,2.0,2.0,3.0,2.0,1.0,1.0,Marketing ,Y,Y,N,N,N
63,N,Amolika Devendra Memon,45.0,Female,High School,2.0,2.0,3.0,3.0,2.0,1.0,12.0,Marketing ,Y,Y,N,N,N
64,Y,Nutan Bail,31.0,Female,High School,2.0,2.0,3.0,3.0,2.0,13.0,6.0,Marketing ,Y,Y,N,N,N
65,Y,Richa Wagle,31.0,Female,High School,2.0,3.0,3.0,2.0,2.0,3.0,6.0,Marketing ,Y,Y,N,N,N
66,Y,Rita Ravel,21.0,Female,High School,2.0,3.0,4.0,2.0,2.0,3.0,2.0,Marketing ,Y,Y,N,N,N
67,N,Mona Rege,63.0,Female,High School,2.0,3.0,2.0,2.0,2.0,3.0,12.0,Marketing ,Y,Y,N,N,N
68,N,Radhika Taneja,37.0,Female,Primary School,3.0,3.0,2.0,4.0,2.0,3.0,6.0,Marketing ,Y,Y,N,N,N
69,N,Babita Munshi,31.0,Female,Primary School,3.0,3.0,2.0,3.0,2.0,3.0,7.0,Marketing ,Y,Y,N,N,N
70,N,Alka Ekbal Boase,31.0,Female,Primary School,4.0,3.0,1.0,3.0,2.0,3.0,7.0,Marketing ,Y,Y,N,N,N
71,N,Upasana Ramanathan,20.0,Female,Primary School,4.0,3.0,2.0,2.0,3.0,1.0,1.0,Marketing ,Y,Y,N,N,N
72,N,Esha Kunda,21.0,Female,Primary School,4.0,3.0,2.0,2.0,3.0,1.0,2.0,Marketing ,Y,Y,N,N,N
73,N,Esha Mehra,21.0,Female,Primary School,4.0,3.0,2.0,2.0,3.0,1.0,2.0,Marketing ,Y,Y,N,N,N
74,N,Lata Wafiq Maraj,20.0,Female,Primary School,4.0,3.0,1.0,4.0,3.0,0.0,1.0,Marketing ,Y,Y,N,N,N
75,N,Samita Vijay,37.0,Female,Primary School,5.0,3.0,2.0,4.0,3.0,0.0,11.0,Marketing ,Y,Y,N,N,N
76,N,Vijaya Vani,40.0,Female,Primary School,5.0,3.0,1.0,4.0,3.0,0.0,12.0,Marketing ,Y,Y,N,N,N
77,Y,Vani jeyakumar,24.0,Female,Undergraduation,2.0,1.0,1.0,1.0,2.0,0.0,2.0,Marketing ,Y,Y,N,N,N
78,Y,Vairali K,22.0,Female,Undergraduation,2.0,1.0,1.0,1.0,1.0,2.0,2.0,Marketing ,Y,Y,N,N,N
79,N,Vaishnavi Janani,40.0,Female,Undergraduation,2.0,1.0,1.0,1.0,1.0,2.0,9.0,Marketing ,Y,Y,N,N,N
80,N,Sujatha Ramani,63.0,Female,Undergraduation,2.0,1.0,1.0,1.0,1.0,2.0,12.0,Marketing ,Y,Y,N,N,N
81,Y,Sujathi rathinam,22.0,Female,Undergraduation,2.0,1.0,1.0,1.0,1.0,2.0,2.0,Marketing ,Y,Y,N,N,N
82,Y,Jitendram,24.0,Male,Undergraduation,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Marketing ,Y,Y,N,N,N
83,N,Surya Kumari,37.0,Female,Post Graduation,1.0,1.0,2.0,1.0,2.0,4.0,9.0,Marketing ,Y,Y,N,N,N
84,N,Soojitha K,63.0,Female,Post Graduation,1.0,1.0,2.0,1.0,3.0,2.0,12.0,Marketing ,Y,Y,N,N,N
85,Y,Vandhana Vijay,25.0,Female,Post Graduation,2.0,1.0,2.0,1.0,2.0,2.0,3.0,Marketing ,Y,Y,N,N,N
86,Y,Varna Bala,25.0,Female,Post Graduation,2.0,1.0,2.0,1.0,1.0,4.0,3.0,Marketing ,Y,Y,N,N,N
87,Y,Balambika,24.0,Female,Post Graduation,2.0,1.0,2.0,1.0,1.0,4.0,2.0,Marketing ,Y,Y,N,N,N
88,Y,Bagheswari,25.0,Female,Undergraduation,1.0,2.0,1.0,1.0,1.0,4.0,3.0,Marketing ,Y,Y,N,N,N
89,Y,Baghya Lakshmi,24.0,Female,Undergraduation,1.0,2.0,1.0,1.0,1.0,4.0,3.0,Marketing ,Y,Y,N,N,N
90,N,Triloka varshini,37.0,Female,Undergraduation,1.0,2.0,1.0,1.0,2.0,4.0,8.0,Marketing ,Y,Y,N,N,N
91,N,Varasidhi K,37.0,Female,Primary School,5.0,3.0,1.0,3.0,2.0,4.0,7.0,Marketing ,Y,Y,N,N,N
92,N,Megamani,63.0,Female,Primary School,3.0,3.0,2.0,4.0,2.0,1.0,12.0,Marketing ,Y,Y,N,N,N
93,N,Chandra Kala,40.0,Female,Primary School,3.0,3.0,2.0,4.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
94,N,Soorya Kala,37.0,Female,Primary School,3.0,3.0,2.0,4.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
95,N,Narendhiran,28.0,Male,Primary School,3.0,3.0,2.0,4.0,3.0,1.0,3.0,Marketing ,Y,Y,N,N,N
96,N,Manushree R,32.0,Female,Primary School,3.0,3.0,2.0,4.0,3.0,1.0,6.0,Marketing ,Y,Y,N,N,N
97,N,Kalai Nayagam,28.0,Male,Primary School,3.0,3.0,2.0,3.0,3.0,1.0,3.0,Marketing ,Y,Y,N,N,N
98,N,Regna Ramya,32.0,Female,Primary School,3.0,2.0,2.0,3.0,3.0,1.0,3.0,Marketing ,Y,Y,N,N,N
99,Y,Raji Raman,24.0,Female,High School,2.0,3.0,2.0,2.0,2.0,1.0,3.0,Marketing ,Y,Y,N,N,N
100,Y,Lakshmi Vasantham,28.0,Female,High School,2.0,3.0,2.0,2.0,1.0,1.0,3.0,Marketing ,Y,Y,N,N,N
101,Y,Vasanthi Vijay,32.0,Female,High School,2.0,3.0,2.0,2.0,1.0,3.0,3.0,Marketing ,Y,Y,N,N,N
102,Y,Pradeepan ,19.0,Male,High School,2.0,3.0,2.0,2.0,1.0,3.0,2.0,Marketing ,Y,Y,N,N,N
103,Y,Menaka Ravi,24.0,Female,High School,2.0,3.0,2.0,2.0,1.0,2.0,3.0,Marketing ,Y,Y,N,N,N
104,Y,Suleka Raju,24.0,Female,High School,2.0,3.0,2.0,2.0,1.0,2.0,3.0,Marketing ,Y,Y,N,N,N
105,Y,Chitra Babu,24.0,Female,High School,2.0,3.0,2.0,2.0,1.0,2.0,2.0,Marketing ,Y,Y,N,N,N
106,N,Jeyanthi Natarajan,22.0,Female,High School,3.0,3.0,1.0,2.0,1.0,2.0,2.0,Marketing ,Y,Y,N,N,N
107,N,Dayanidhi Kumar,32.0,Female,High School,3.0,3.0,1.0,2.0,1.0,4.0,3.0,Marketing ,Y,Y,N,N,N
108,N,Vageswari Kannan,28.0,Female,High School,3.0,3.0,1.0,1.0,1.0,2.0,3.0,Marketing ,Y,Y,N,N,N
109,N,Lakshmi Raman,22.0,Female,High School,3.0,3.0,1.0,1.0,2.0,2.0,4.0,Marketing ,Y,Y,N,N,N
110,N,Kashi Kumari,22.0,Female,High School,3.0,2.0,1.0,1.0,2.0,2.0,4.0,Marketing ,Y,Y,N,N,N
111,Y,Manoshi Gupta,28.0,Female,High School,2.0,2.0,1.0,1.0,2.0,1.0,3.0,Marketing ,Y,Y,N,N,N
112,Y,Ravi Kurram,18.0,Male,High School,2.0,2.0,1.0,1.0,2.0,2.0,4.0,Marketing ,Y,Y,N,N,N
113,Y,Mala Pillai,19.0,Female,High School,1.0,2.0,1.0,1.0,2.0,2.0,2.0,Marketing ,Y,Y,N,N,N
114,Y,Rose Ramani,20.0,Female,High School,1.0,2.0,1.0,1.0,1.0,2.0,4.0,Marketing ,Y,Y,N,N,N
115,Y,Velvizhi Iyer,20.0,Female,High School,1.0,2.0,1.0,1.0,1.0,2.0,4.0,Marketing ,Y,Y,N,N,N
116,Y,Virat Pratap Nadkarni,30.0,Male,High School,2.0,2.0,3.0,2.0,2.0,1.0,4.0,Marketing ,Y,Y,N,N,N
117,Y,Manpreet Date,31.0,Male,High School,2.0,2.0,3.0,2.0,2.0,1.0,5.0,Marketing ,Y,Y,N,N,N
118,Y,Amir Meda,32.0,Male,High School,2.0,2.0,3.0,2.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
119,Y,Pradeep Kumar Sarna,33.0,Male,High School,2.0,2.0,3.0,2.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
120,Y,Atul Pratap Brahmbhatt,34.0,Male,High School,2.0,2.0,2.0,2.0,2.0,1.0,7.0,Marketing ,Y,Y,N,N,N
121,Y,Baalkrishan Kumar Mann,28.0,Male,High School,2.0,2.0,2.0,2.0,3.0,1.0,3.0,Marketing ,Y,Y,N,N,N
122,Y,Suresh Sid Pradhan,33.0,Male,Undergraduation,1.0,2.0,2.0,1.0,2.0,1.0,5.0,Marketing ,Y,Y,N,N,N
123,Y,Lalit Jamshed Meka,33.0,Male,Undergraduation,1.0,2.0,2.0,1.0,2.0,3.0,10.0,Marketing ,Y,Y,N,N,N
124,Y,Satish Singh Kata,33.0,Male,Undergraduation,1.0,2.0,2.0,1.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
125,N,Abhinav Bhai Gagrani,35.0,Male,Undergraduation,2.0,2.0,2.0,1.0,2.0,2.0,9.0,Marketing ,Y,Y,N,N,N
126,Y,Vijay Pravin Sarma,28.0,Male,Undergraduation,2.0,2.0,2.0,2.0,2.0,3.0,2.0,Marketing ,Y,Y,N,N,N
127,Y,Umesh Naik,28.0,Male,High School,2.0,2.0,2.0,2.0,3.0,3.0,4.0,Marketing ,Y,Y,N,N,N
128,N,Elias Nadig,35.0,Male,High School,2.0,2.0,2.0,2.0,3.0,3.0,8.0,Marketing ,Y,Y,N,N,N
129,N,Kamlesh Chitranjan Mohan,35.0,Male,High School,3.0,2.0,2.0,2.0,3.0,2.0,8.0,Marketing ,Y,Y,N,N,N
130,N,Karim Upadhyay,35.0,Male,High School,3.0,2.0,2.0,3.0,2.0,2.0,7.0,Marketing ,Y,Y,N,N,N
131,N,Biren Biyani,28.0,Male,High School,3.0,2.0,2.0,3.0,2.0,2.0,4.0,Marketing ,Y,Y,N,N,N
132,N,Balaji Karnik,41.0,Male,High School,3.0,2.0,2.0,3.0,2.0,2.0,7.0,Marketing ,Y,Y,N,N,N
133,N,Ghanshyam Natarajan,41.0,Male,Primary School,4.0,3.0,2.0,3.0,3.0,1.0,4.0,Marketing ,Y,Y,N,N,N
134,N,Rajendra Mohanty,41.0,Male,Primary School,3.0,4.0,3.0,4.0,3.0,1.0,4.0,Marketing ,Y,Y,N,N,N
135,N,Devendra Venkat Kohli,41.0,Male,Primary School,4.0,2.0,3.0,4.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
136,N,Jaswant Bhai Chohan,41.0,Male,High School,3.0,2.0,2.0,3.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
137,N,Iqbal Bhai Badal,28.0,Male,High School,2.0,4.0,1.0,3.0,2.0,1.0,2.0,Marketing ,Y,Y,N,N,N
138,N,Kalyan Mand,40.0,Male,High School,2.0,3.0,1.0,3.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
139,N,Naseer Pratap Deo,40.0,Male,High School,2.0,3.0,1.0,3.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
140,N,Akhil Khalsa,40.0,Male,High School,2.0,3.0,1.0,3.0,2.0,3.0,6.0,Marketing ,Y,Y,N,N,N
141,Y,Vijay Swaminathan,28.0,Male,Undergraduation,2.0,2.0,2.0,2.0,2.0,3.0,3.0,Marketing ,Y,Y,N,N,N
142,N,Raghavan Bhai Nadkarni,40.0,Male,Undergraduation,2.0,2.0,1.0,2.0,2.0,2.0,6.0,Marketing ,Y,Y,N,N,N
143,N,Atul Prasad Nagarajan,40.0,Male,Undergraduation,2.0,2.0,1.0,2.0,2.0,2.0,6.0,Marketing ,Y,Y,N,N,N
144,N,Atul Majumdar,40.0,Male,Undergraduation,1.0,3.0,1.0,2.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
145,N,Bahadur Pratap Dixit,40.0,Male,Undergraduation,1.0,3.0,1.0,2.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
146,N,Jawahar Pranay Sagar,38.0,Male,Undergraduation,2.0,3.0,1.0,2.0,2.0,1.0,11.0,Marketing ,Y,Y,N,N,N
147,N,Rahim Dev Sangha,38.0,Male,Undergraduation,2.0,3.0,1.0,1.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
148,Y,Satish Lal Srinivasan,28.0,Male,Undergraduation,2.0,1.0,1.0,1.0,2.0,1.0,3.0,Marketing ,Y,Y,N,N,N
149,N,Baldev Tank,38.0,Male,Undergraduation,1.0,1.0,2.0,1.0,2.0,11.0,8.0,Marketing ,Y,Y,N,N,N
150,Y,Habib Ramesh,28.0,Male,Undergraduation,1.0,1.0,2.0,1.0,2.0,0.0,1.0,Marketing ,Y,Y,N,N,N
151,N,Raghavan Dev Seshadri,38.0,Male,Undergraduation,1.0,1.0,2.0,1.0,1.0,0.0,9.0,Marketing ,Y,Y,N,N,N
152,Y,Naseer Ram,28.0,Male,Undergraduation,1.0,1.0,2.0,1.0,1.0,0.0,1.0,Marketing ,Y,Y,N,N,N
153,Y,Manpreet Morar,28.0,Male,Undergraduation,2.0,1.0,2.0,1.0,1.0,0.0,4.0,Marketing ,Y,Y,N,N,N
154,N,Chinmay Kumar Vasa,38.0,Male,Undergraduation,2.0,1.0,2.0,1.0,1.0,4.0,3.0,Marketing ,Y,Y,N,N,N
155,N,Satishwar Elias Apte,38.0,Male,Undergraduation,2.0,1.0,2.0,1.0,1.0,1.0,3.0,Marketing ,Y,Y,N,N,N
156,Y,Gauransh Prasad Deshpande,28.0,Male,Post Graduation,1.0,2.0,1.0,2.0,2.0,6.0,4.0,Marketing ,Y,Y,N,N,N
157,N,Faisal Somani,38.0,Male,High School,2.0,3.0,1.0,3.0,2.0,0.0,6.0,Marketing ,Y,Y,N,N,N
158,N,Arun Hari,38.0,Male,High School,2.0,3.0,2.0,3.0,2.0,0.0,2.0,Marketing ,Y,Y,N,N,N
159,N,Mohan Lal Prasad,38.0,Male,High School,3.0,3.0,2.0,2.0,2.0,0.0,7.0,Marketing ,Y,Y,N,N,N
160,N,Ehsaan Raj Sha,40.0,Male,High School,3.0,3.0,2.0,2.0,2.0,5.0,7.0,Marketing ,Y,Y,N,N,N
161,N,Moti Raj Hegde,40.0,Male,High School,3.0,3.0,2.0,2.0,1.0,6.0,9.0,Marketing ,Y,Y,N,N,N
162,N,Devendra Nagy,40.0,Male,High School,3.0,3.0,2.0,2.0,1.0,1.0,9.0,Marketing ,Y,Y,N,N,N
163,N,"Aniruddh Nawab, Ganesan",40.0,Male,High School,3.0,3.0,2.0,2.0,1.0,1.0,4.0,Marketing ,Y,Y,N,N,N
164,N,Qabool Iyengar,28.0,Male,High School,3.0,3.0,2.0,2.0,1.0,3.0,3.0,Marketing ,Y,Y,N,N,N
165,N,Rupesh Wagle,21.0,Male,High School,3.0,3.0,2.0,2.0,1.0,1.0,3.0,Marketing ,Y,Y,N,N,N
166,N,Kalpit Bhai Lata,40.0,Male,High School,3.0,3.0,2.0,2.0,1.0,1.0,4.0,Marketing ,Y,Y,N,N,N
167,N,Radhe Raj Bera,40.0,Male,High School,3.0,3.0,2.0,2.0,1.0,1.0,4.0,Marketing ,Y,Y,N,N,N
168,N,Jamshed Hrishikesh Kamdar,40.0,Male,High School,3.0,3.0,2.0,1.0,1.0,1.0,4.0,Marketing ,Y,Y,N,N,N
169,N,Mustafa Singh De,21.0,Male,High School,3.0,3.0,2.0,1.0,1.0,1.0,3.0,Marketing ,Y,Y,N,N,N
170,N,Ishat Dev Sharaf,40.0,Male,High School,3.0,3.0,2.0,1.0,1.0,1.0,7.0,Marketing ,Y,Y,N,N,N
171,N,Baber Palla,40.0,Male,Undergraduation,1.0,2.0,1.0,3.0,1.0,1.0,7.0,Marketing ,Y,Y,N,N,N
172,Y,Jagat Swamy,26.0,Male,Undergraduation,1.0,2.0,1.0,3.0,1.0,2.0,3.0,Marketing ,Y,Y,N,N,N
173,N,Manish Lanka,44.0,Male,Undergraduation,1.0,2.0,1.0,3.0,1.0,2.0,7.0,Marketing ,Y,Y,N,N,N
174,Y,Lalit Chander,28.0,Male,Undergraduation,1.0,2.0,1.0,2.0,1.0,2.0,12.0,Marketing ,Y,Y,N,N,N
175,N,Obaid Krish,61.0,Male,Primary School,3.0,2.0,2.0,3.0,4.0,2.0,14.0,Marketing ,Y,Y,N,N,N
176,N,Mowgli Venkataraman,62.0,Male,Primary School,3.0,3.0,2.0,4.0,2.0,2.0,19.0,Marketing ,Y,Y,N,N,N
177,N,Karim Mitesh Doctor,61.0,Male,Primary School,4.0,3.0,2.0,4.0,2.0,3.0,16.0,Marketing ,Y,Y,N,N,N
178,Y,Naval Jacob,28.0,Male,Undergraduation,1.0,2.0,2.0,2.0,1.0,3.0,8.0,Marketing ,Y,Y,N,N,N
179,Y,Binoya Rao Soni,28.0,Male,Undergraduation,1.0,3.0,3.0,2.0,1.0,3.0,7.0,Marketing ,Y,Y,N,N,N
180,Y,Aatif Oak,23.0,Male,Undergraduation,1.0,3.0,3.0,1.0,1.0,0.0,15.0,Marketing ,Y,Y,N,N,N
181,N,Ehsaan Gala,53.0,Male,Undergraduation,2.0,3.0,3.0,1.0,1.0,0.0,5.0,Marketing ,Y,Y,N,N,N
182,N,David Bhai Patel,53.0,Male,High School,3.0,2.0,2.0,1.0,1.0,0.0,19.0,Marketing ,Y,Y,N,N,N
183,N,Chitranjan Apte,61.0,Male,High School,3.0,2.0,2.0,1.0,1.0,0.0,13.0,Marketing ,Y,Y,N,N,N
184,N,Ghalib Chad,53.0,Male,High School,3.0,2.0,2.0,1.0,1.0,0.0,6.0,Marketing ,Y,Y,N,N,N
185,N,Nayan Bhai Palan,61.0,Male,High School,3.0,2.0,3.0,1.0,1.0,0.0,17.0,Marketing ,Y,Y,N,N,N
186,N,Raju Raval,61.0,Male,Primary School,4.0,3.0,2.0,4.0,4.0,0.0,13.0,Marketing ,Y,Y,N,N,N
